dtime, time, flightTimeRemaining,acceleration, acceleration(2), acceleration(3),orientation(1), orientation(2), orientation(3),quad_pos(1), quad_pos(2), quad_pos(3),path_pos(1), path_pos(2), path_pos(3),path_psi,omega_psi,controls(1), controls(2), controls(3), controls(4),vbat,path_psi, error_psi
  0.05796576,   1.04437399,  38.95562601,   0.06103516,  -0.00561523,   0.95361328,   4.10863304,  -7.76026154,  -2.46887636,   1.99461592,   0.16442911,  -0.35949996,   2.01100000,   0.06088404,  -0.56435257,   0.00000000,   0.10772505, 44166.43651706,  -0.19333688,  10.93651686,   6.17219090,   3.24105597,   0.00000000,   0.04309002
  0.05996323,   1.10433722,  38.89566278,   0.08544922,   0.01806641,   0.93603516,   3.30805850,  -9.47009754,  -2.08740616,   1.96251989,   0.15605126,  -0.34648880,   2.01100000,   0.06088404,  -0.55235993,   0.00000000,   0.09108028, 45172.22770653,  -0.60794819,  11.45644468,   5.21851540,   3.24105597,   0.00000000,   0.03643211
  0.05696654,   1.16130376,  38.83869624,   0.03198242,   0.05712891,   1.10937500,   2.18719554,  -8.89446259,  -1.81976998,   1.94087468,   0.14403559,  -0.33211921,   2.01100000,   0.06088404,  -0.54096662,   0.00000000,   0.07940244, 44345.20727379,  -2.20915108,   8.89178712,   4.54942495,   3.18826962,   0.00000000,   0.03176098
  0.05496621,   1.21626997,  38.78373003,   0.02441406,   0.02392578,   1.13818359,   0.93437999, -10.07931614,  -1.40178001,   1.92842729,   0.13622658,  -0.32306328,   2.01100000,   0.06088404,  -0.52997338,   0.00000000,   0.06116419, 45074.74297714,  -0.75546529,   5.94877611,   3.50445002,   3.18826962,   0.00000000,   0.02446568
  0.05996418,   1.27623415,  38.72376585,   0.03369141,   0.04199219,   1.13085938,   0.22332282, -10.08930302,  -0.92931306,   1.92167261,   0.12054597,  -0.31578299,   2.01100000,   0.06088404,  -0.51798054,   0.00000000,   0.04054893, 45555.48148717,  -3.41074209,   3.73578692,   2.32328266,   3.18826962,   0.00000000,   0.01621957
  0.05496693,   1.33120108,  38.66879892,   0.02319336,   0.03442383,   0.98925781,  -0.18596925,  -9.24058342,  -0.66179734,   1.92182340,   0.10825599,  -0.31004598,   2.01100000,   0.06088404,  -0.50698715,   0.00000000,   0.02887636, 45687.50000366,  -2.83879258,   1.45230018,   1.65449336,   3.17243385,   0.00000000,   0.01155054
  0.09594226,   1.42714334,  38.57285666,   0.00561523,   0.04956055,   1.12866211,  -1.66850483,  -5.51600552,   0.44234967,   1.93647118,   0.08590057,  -0.29589667,   2.01100000,   0.06088404,  -0.48779870,   0.00000000,  -0.01930115, 45241.52988999,  -3.55304350,  -1.82990754,  -1.10587418,   3.17243385,   0.00000000,  -0.00772046
  0.05696607,   1.48410940,  38.51589060,   0.00415039,   0.03100586,   1.08789063,  -1.89036965,  -3.79847169,   0.95351231,   1.94624756,   0.07862476,  -0.29056409,   2.01100000,   0.06088404,  -0.47640549,   0.00000000,  -0.04160482, 45863.34265379,  -1.56064090,  -2.35148582,  -2.38378078,   3.15659809,   0.00000000,  -0.01664193
  0.05696535,   1.54107475,  38.45892525,  -0.02465820,   0.01611328,   1.14526367,  -1.92083311,  -3.01013589,   1.14705241,   1.96314121,   0.06844208,  -0.28696598,   2.01100000,   0.06088404,  -0.46501242,   0.00000000,  -0.05004960, 46483.94072971,  -2.84691221,  -5.12754422,  -2.86763102,   3.16715527,   0.00000000,  -0.02001984
  0.05596685,   1.59704161,  38.40295839,  -0.17163086,  -0.13793945,   0.81738281,  -2.25563717,  -1.14470744,   1.52255094,   1.98398633,   0.06200629,  -0.27938087,   2.01100000,   0.06088404,  -0.45381905,   0.00000000,  -0.06643382, 45773.32640120,  -1.84101902,  -7.20817409,  -3.80637735,   3.16715527,   0.00000000,  -0.02657353
