dtime, time, flightTimeRemaining,acceleration, acceleration(2), acceleration(3),orientation(1), orientation(2), orientation(3),quad_pos(1), quad_pos(2), quad_pos(3),path_pos(1), path_pos(2), path_pos(3),path_psi,omega_psi,controls(1), controls(2), controls(3), controls(4),vbat,path_psi, error_psi
  0.05696559,   1.04537177,  38.95462823,   0.03662109,   0.01220703,   0.86645508,   2.72177529,  -0.62202507,  -5.97271681,   2.40258976,   0.20535076,  -0.31750291,   2.34900000,   0.15645777,  -0.57321447,   0.00000000,   0.26060893, 42249.50817841,  -1.93720384,   5.49528912,  14.93179202,   3.52609968,   0.00000000,   0.10424357
  0.05496716,   1.10033894,  38.89966106,   0.02685547,   0.03149414,   0.94848633,   2.36524749,  -0.83244091,  -5.33381128,   2.38886418,   0.20281889,  -0.30633190,   2.34900000,   0.15645777,  -0.56222104,   0.00000000,   0.23273142, 43890.26177379,   0.02914435,   3.76349535,  13.33452821,   3.52609968,   0.00000000,   0.09309257
  0.05596638,   1.15630531,  38.84369469,   0.03125000,  -0.00024414,   0.98876953,   1.02409279,  -1.55398226,  -4.06597710,   2.37035518,   0.19550109,  -0.29088222,   2.34900000,   0.15645777,  -0.55102777,   0.00000000,   0.17741172, 43086.08022386,  -2.01116175,   5.86013818,  10.16494274,   3.53665686,   0.00000000,   0.07096469
  0.05996394,   1.21626925,  38.78373075,   0.03930664,   0.02319336,   1.01318359,   0.00032783,  -3.06118631,  -2.77902460,   2.35110041,   0.19248630,  -0.27983725,   2.34900000,   0.15645777,  -0.53903498,   0.00000000,   0.12125782, 44165.75395704,  -0.21343010,   6.08095027,   6.94756150,   3.52082109,   0.00000000,   0.04850313
  0.05596685,   1.27223611,  38.72776389,   0.03906250,   0.04028320,   1.09155273,   0.08407908,  -3.63441706,  -1.41386735,   2.33388142,   0.18542441,  -0.27056126,   2.34900000,   0.15645777,  -0.52784161,   0.00000000,   0.06169160, 44400.68236418,  -1.80331159,   6.13805971,   3.53466839,   3.52082109,   0.00000000,   0.02467664
  0.05996323,   1.33219934,  38.66780066,   0.04907227,   0.00854492,   1.01855469,  -0.41426045,  -4.36241484,  -0.04192430,   2.32514716,   0.17783874,  -0.26236561,   2.34900000,   0.15645777,  -0.51584896,   0.00000000,   0.00182929, 44568.43772944,  -1.81132886,   3.00821291,   0.10481075,   3.51026392,   0.00000000,   0.00073172
  0.06696033,   1.39915967,  38.60084033,   0.03222656,   0.02514648,   0.96875000,  -0.38451216,  -5.04734039,   1.35148144,   2.30894268,   0.16947143,  -0.25336367,   2.34900000,   0.15645777,  -0.50245689,   0.00000000,  -0.05896950, 44750.19967268,  -1.83359246,   5.42185128,  -3.37870359,   3.51026392,   0.00000000,  -0.02358780
  0.05696583,   1.45612550,  38.54387450,   0.01953125,  -0.02563477,   0.97998047,  -0.61627996,  -4.80826807,   2.72493315,   2.30108088,   0.16214020,  -0.24574088,   2.34900000,   0.15645777,  -0.49106373,   0.00000000,  -0.11889764, 44652.98365458,  -2.03631328,   3.54397923,  -6.81233287,   3.51026392,   0.00000000,  -0.04755906
  0.05796480,   1.51409030,  38.48590970,   0.00341797,   0.01147461,   0.93603516,  -1.03628123,  -4.01013470,   4.03422546,   2.29703606,   0.15490886,  -0.23836172,   2.34900000,   0.15645777,  -0.47947077,   0.00000000,  -0.17602629, 44701.13941777,  -2.12633112,   2.30330725, -10.08556366,   3.50498533,   0.00000000,  -0.07041052
  0.05596638,   1.57005668,  38.42994332,  -0.00756836,   0.03271484,   1.04052734,  -1.11701548,  -4.13072920,   5.24682188,   2.29618137,   0.15328201,  -0.23137540,   2.34900000,   0.15645777,  -0.46827749,   0.00000000,  -0.22893579, 44689.00316574,  -0.24939730,   1.09485245, -13.11705470,   3.50498533,   0.00000000,  -0.09157432
  0.05596662,   1.62602329,  38.37397671,  -0.01171875,  -0.02050781,   1.00830078,  -1.33796906,  -3.42094994,   6.37748146,   2.29602910,   0.15298517,  -0.22974640,   2.34900000,   0.15645777,  -0.45708417,   0.00000000,  -0.27827012, 45919.03553426,   0.21893900,   0.79419559, -15.94370365,   3.49970675,   0.00000000,  -0.11130805
  0.05896449,   1.68498778,  38.31501222,  -0.02709961,  -0.02856445,   1.02709961,  -1.17994523,  -2.20780301,   7.35597706,   2.29988584,   0.15860277,  -0.22442625,   2.34900000,   0.15645777,  -0.44529127,   0.00000000,  -0.32096505, 45264.03843245,   2.20705859,  -0.91698012, -18.38994265,   3.49970675,   0.00000000,  -0.12838602
  0.05996394,   1.74495173,  38.25504827,   0.04125977,   0.08837891,   1.17602539,  -0.53053778,  -1.32750297,   8.12698460,   2.30626390,   0.16032708,  -0.21826401,   2.34900000,   0.15645777,  -0.43329848,   0.00000000,  -0.35460660, 45135.72818065,   0.76163144,  -1.71350108, -20.31746149,   3.48387098,   0.00000000,  -0.14184264
  0.05596781,   1.80091953,  38.19908047,   0.04443359,   0.07739258,   1.18017578,   0.19253525,  -0.46920559,   8.64789581,   2.30998650,   0.16080912,  -0.21176371,   2.34900000,   0.15645777,  -0.42210492,   0.00000000,  -0.37733564, 44982.53922919,   0.46621716,  -0.92460155, -21.61973953,   3.48387098,   0.00000000,  -0.15093426
  0.05696511,   1.85788465,  38.14211535,   0.02880859,   0.03100586,   1.17504883,   0.74813396,   0.74075425,   8.90504456,   2.31698273,   0.16133335,  -0.20538371,   2.34900000,   0.15645777,  -0.41071190,   0.00000000,  -0.38855587, 45090.29091699,   0.28651536,  -2.20797904, -22.26261139,   3.48387098,   0.00000000,  -0.15542235
  0.05796432,   1.91584897,  38.08415103,  -0.05273438,   0.01904297,   1.05688477,   0.58247656,   1.27468932,   8.91583920,   2.32251182,   0.16716391,  -0.19337424,   2.34900000,   0.15645777,  -0.39911903,   0.00000000,  -0.38902687, 43946.19229991,   2.39757558,  -2.13324244, -22.28959799,   3.48387098,   0.00000000,  -0.15561075
  0.05696583,   1.97281480,  38.02718520,  -0.15209961,  -0.08374023,   0.81518555,   0.43660867,   1.24956787,   8.81230545,   2.32758859,   0.16883908,  -0.18546428,   2.34900000,   0.15645777,  -0.38772587,   0.00000000,  -0.38450936, 44742.14752227,   0.95621821,  -1.84909688, -22.03076363,   3.48387098,   0.00000000,  -0.15380374
  0.05496693,   2.02778172,  37.97221828,   0.02856445,   0.02612305,   1.05297852,   0.43023264,   1.50054324,   8.46795082,   2.33179619,   0.16938346,  -0.17856438,   2.34900000,   0.15645777,  -0.37673248,   0.00000000,  -0.36948406, 44914.24263149,   0.61086589,  -1.61201603, -21.16987705,   3.49442816,   0.00000000,  -0.14779362
  0.05696654,   2.08474827,  37.91525173,   0.02905273,   0.05566406,   1.14892578,   1.15345418,   1.94852781,   7.87086153,   2.33509815,   0.17510871,  -0.17166059,   2.34900000,   0.15645777,  -0.36533917,   0.00000000,  -0.34343112, 45037.87572847,   2.64216931,  -1.56733268, -19.67715383,   3.49442816,   0.00000000,  -0.13737245
  0.05896449,   2.14371276,  37.85628724,   0.02294922,   0.00683594,   1.08374023,   1.00823557,   1.92105663,   7.00685310,   2.33662292,   0.17657120,  -0.15913682,   2.34900000,   0.15645777,  -0.35354628,   0.00000000,  -0.30573164, 43854.70886255,   1.27972542,  -0.73879636, -17.51713276,   3.47859240,   0.00000000,  -0.12229266
  0.05696559,   2.20067835,  37.79932165,  -0.02880859,   0.00878906,   1.07714844,   0.95724839,   1.85875082,   5.90512514,   2.33770524,   0.17689202,  -0.14542935,   2.34900000,   0.15645777,  -0.34215316,   0.00000000,  -0.25765969, 43453.14261140,   0.93166528,  -0.55583823, -14.76281285,   3.47859240,   0.00000000,  -0.10306388
