dtime, time, flightTimeRemaining,acceleration, acceleration(2), acceleration(3),orientation(1), orientation(2), orientation(3),quad_pos(1), quad_pos(2), quad_pos(3),path_pos(1), path_pos(2), path_pos(3),path_psi,omega_psi,controls(1), controls(2), controls(3), controls(4),vbat,path_psi, error_psi
  0.06096005,   1.10433507,  38.89566493,   0.04498216,  -0.44701958,   1.05242300,  -1.98998749,  -6.07192516,   2.00959182,   1.80737611,  -0.01915520,  -0.52260878,   1.89100000,   0.00000000,  -0.55202127,   0.00000000,  -0.08768498, 50318.39789584,  -2.92479057,  13.39824306,  -5.02397954,   3.49970675,   0.00000000,  -0.03507399
  0.05796504,   1.16230011,  38.83769989,   0.02732952,   0.00084552,   1.08689606,  -2.69772482,  -9.49720001,   2.34333658,   1.77407091,  -0.02926973,  -0.52341546,   1.89100000,   0.00000000,  -0.54042826,   0.00000000,  -0.10224735, 50795.03620565,  -3.30779808,  12.79473977,  -5.85834146,   3.46275663,   0.00000000,  -0.04089894
  0.05696559,   1.21926570,  38.78073430,  -0.00791668,   0.00884783,   0.98443776,  -2.92071700,  -9.43329525,   2.65394115,   1.74734863,  -0.03527466,  -0.52197262,   1.89100000,   0.00000000,  -0.52903514,   0.00000000,  -0.11580003, 50148.15222839,  -2.17208904,  11.55241742,  -6.63485289,   3.46275663,   0.00000000,  -0.04632001
  0.05496740,   1.27423310,  38.72576690,   0.03163625,  -0.04846583,   0.99780518,  -2.75098348, -10.46509075,   2.83723640,   1.73522424,  -0.04046085,  -0.52378107,   1.89100000,   0.00000000,  -0.51804166,   0.00000000,  -0.12379779, 50385.85863029,  -2.22839890,   7.21190979,  -7.09309101,   3.45747805,   0.00000000,  -0.04951912
  0.05696583,   1.33119893,  38.66880107,   0.09992414,  -0.14097272,   1.28795254,  -2.89928985, -11.25054073,   3.03355432,   1.72485436,  -0.04551514,  -0.51791942,   1.89100000,   0.00000000,  -0.50664850,   0.00000000,  -0.13236378, 48785.51715823,  -2.31691613,   7.01305013,  -7.58388579,   3.47331381,   0.00000000,  -0.05294551
  0.05796456,   1.38916349,  38.61083651,   0.78780031,  -0.50340730,   1.12296188,  -3.12826991,  -9.95260239,   3.20383644,   1.72326692,  -0.05073115,  -0.51264829,   1.89100000,   0.00000000,  -0.49505558,   0.00000000,  -0.13979374, 48782.82076537,  -2.59777273,   4.20221656,  -8.00959110,   3.47331381,   0.00000000,  -0.05591749
  0.07195711,   1.46112061,  38.53887939,   0.52913040,  -0.54788941,   1.35722220,  -3.30816460,  -7.46270895,   3.26182818,   1.73438161,  -0.05230127,  -0.50626097,   1.89100000,   0.00000000,  -0.48066416,   0.00000000,  -0.14232410, 48745.58613875,  -1.56232246,   0.53372578,  -8.15457046,   3.50498533,   0.00000000,  -0.05692964
  0.05896425,   1.52008486,  38.47991514,   0.05473544,   0.01353925,   0.94475758,  -3.00363183,  -6.42985630,   3.23328090,   1.74974051,  -0.05294204,  -0.50068246,   1.89100000,   0.00000000,  -0.46887131,   0.00000000,  -0.14107849, 48772.30579405,  -1.52387433,  -1.72211017,  -8.08320224,   3.50498533,   0.00000000,  -0.05643140
  0.05596662,   1.57605147,  38.42394853,   0.01255050,  -0.00730130,   1.09997451,  -2.66946197,  -5.04028034,   3.06670260,   1.77162798,  -0.05363199,  -0.49229834,   1.89100000,   0.00000000,  -0.45767799,   0.00000000,  -0.13381014, 48287.49526645,  -1.76033519,  -4.64490348,  -7.66675651,   3.48387098,   0.00000000,  -0.05352406
  0.05696726,   1.63301873,  38.36698127,  -0.06579149,  -0.02942848,   1.09416103,  -2.34936857,  -2.73044300,   2.75555539,   1.78764682,  -0.05412119,  -0.48490215,   1.89100000,   0.00000000,  -0.44628454,   0.00000000,  -0.12023379, 48477.30984061,  -1.59999874,  -2.84355071,  -6.88888848,   3.49442816,   0.00000000,  -0.04809351
  0.05996227,   1.69298100,  38.30701900,  -0.04107976,   0.00181706,   1.06142855,  -2.04768658,  -0.25087619,   2.27848434,   1.81777075,  -0.05503383,  -0.47741616,   1.89100000,   0.00000000,  -0.43429208,   0.00000000,  -0.09941763, 48974.77971603,  -1.93113134,  -7.59986167,  -5.69621086,   3.49442816,   0.00000000,  -0.03976705
  0.06196308,   1.75494409,  38.24505591,   0.08585187,  -0.16104805,   1.15437579,  -1.86960196,   1.48881638,   1.70603955,   1.84819659,  -0.05595508,  -0.46424242,   1.89100000,   0.00000000,  -0.42189947,   0.00000000,  -0.07444002, 47974.46842356,  -1.94670561,  -8.19332689,  -4.26509887,   3.50498533,   0.00000000,  -0.02977601
  0.05696607,   1.81191015,  38.18808985,  -0.08079533,  -0.02838898,   1.07894766,  -1.78861511,   2.62866688,   1.07233560,   1.87772101,  -0.05245296,  -0.44953626,   1.89100000,   0.00000000,  -0.41050625,   0.00000000,  -0.04678947, 47527.53490837,  -0.34999988,  -9.48716829,  -2.68083900,   3.50498533,   0.00000000,  -0.01871579
  0.05596590,   1.86787605,  38.13212395,   0.04903812,   0.01733874,   1.02842569,  -1.65335572,   4.88551140,   0.40576214,   1.89524783,  -0.05187699,  -0.43983974,   1.89100000,   0.00000000,  -0.39931307,   0.00000000,  -0.01770471, 48176.90067253,  -1.20124237,  -5.77766457,  -1.01440534,   3.49442816,   0.00000000,  -0.00708189
  0.05696535,   1.92484140,  38.07515860,   0.01842373,  -0.04924665,   1.18531883,  -1.42727351,   6.48768091,  -0.20816559,   1.91996122,  -0.05235307,  -0.42895074,   1.89100000,   0.00000000,  -0.38792000,   0.00000000,   0.00908294, 48282.33250082,  -1.52534330,  -8.64112637,   0.52041396,   3.51026392,   0.00000000,   0.00363317
  0.05796504,   1.98280644,  38.01719356,  -0.03014306,  -0.03532831,   1.13005698,  -0.88556820,   6.48757505,  -0.77619177,   1.94355200,  -0.04839909,  -0.41665858,   1.89100000,   0.00000000,  -0.37632699,   0.00000000,   0.03386776, 48014.72267525,   0.10309736,  -8.69094757,   1.94047943,   3.51026392,   0.00000000,   0.01354710
  0.05696607,   2.03977251,  37.96022749,   0.01597785,  -0.05224698,   1.08229566,  -0.99559951,   6.02899885,  -1.25547075,   1.95656333,  -0.05219544,  -0.40635574,   1.89100000,   0.00000000,  -0.36493378,   0.00000000,   0.05478025, 48135.47008228,  -2.58986428,  -5.59745379,   3.13867688,   3.47859240,   0.00000000,   0.02191210
  0.05896425,   2.09873676,  37.90126324,   0.00685442,  -0.07444314,   1.31847858,  -1.16723192,   6.45359421,  -1.44510674,   1.97339544,  -0.04892256,  -0.39292716,   1.89100000,   0.00000000,  -0.35314093,   0.00000000,   0.06305468, 47645.43493101,  -0.13825840,  -7.10554512,   3.61276686,   3.47859240,   0.00000000,   0.02522187
  0.05996394,   2.15870070,  37.84129930,  -0.00576419,  -0.05112959,   1.21867490,  -1.04439163,   6.72867012,  -1.80464220,   1.98579268,  -0.04829374,  -0.37748233,   1.89100000,   0.00000000,  -0.34114814,   0.00000000,   0.07874237, 47148.76640635,  -1.02469258,  -5.97699562,   4.51160550,   3.48914957,   0.00000000,   0.03149695
  0.05596638,   2.21466708,  37.78533292,  -0.06813423,  -0.08674423,   1.24950504,  -1.29616833,   5.85232401,  -1.82660127,   1.99302961,  -0.04830455,  -0.36106656,   1.89100000,   0.00000000,  -0.32995487,   0.00000000,   0.07970052, 46568.65836380,  -1.30978554,  -4.72928026,   4.56650317,   3.48914957,   0.00000000,   0.03188021
  0.05596638,   2.27063346,  37.72936654,   0.03958566,   0.06314911,   1.24078178,  -1.25137269,   5.69095182,  -1.78873539,   1.99618515,  -0.05298788,  -0.35284227,   1.89100000,   0.00000000,  -0.31876159,   0.00000000,   0.07804830, 48347.70833369,  -3.01702298,  -3.32995446,   4.47183847,   3.48914957,   0.00000000,   0.03121932
  0.05996394,   2.33059740,  37.66940260,   0.02720019,  -0.21102853,   1.10475516,  -1.29687071,   5.13174725,  -1.58074677,   1.99764606,  -0.05418965,  -0.34173507,   1.89100000,   0.00000000,  -0.30676880,   0.00000000,   0.06897309, 47835.93833110,  -1.89616811,  -2.77778794,   3.95186692,   3.49442816,   0.00000000,   0.02758924
  0.05996394,   2.39056134,  37.60943866,   0.07193098,  -0.21800706,   1.50069761,  -1.83229148,   4.15299845,  -1.31074059,   1.99482436,  -0.05431743,  -0.32931436,   1.89100000,   0.00000000,  -0.29477601,   0.00000000,   0.05719185, 47522.94243611,  -1.63214061,  -1.38035347,   3.27685148,   3.49442816,   0.00000000,   0.02287674
  0.05696559,   2.44752693,  37.55247307,   0.02251158,  -0.63040787,   1.29763532,  -2.85267377,   3.58742476,  -0.96967322,   1.99106990,  -0.05424689,  -0.31680097,   1.89100000,   0.00000000,  -0.28338290,   0.00000000,   0.04230998, 47356.25510419,  -1.61016193,  -0.97213641,   2.42418304,   3.45747805,   0.00000000,   0.01692399
  0.05696630,   2.50449324,  37.49550676,   0.00396106,   0.02695562,   0.83993953,  -2.69436383,   2.57142568,  -0.60689813,   1.98865003,  -0.05418581,  -0.30903451,   1.89100000,   0.00000000,  -0.27198964,   0.00000000,   0.02648093, 48414.32132544,  -1.60122808,  -1.37687138,   1.51724532,   3.45747805,   0.00000000,   0.01059237
  0.05796456,   2.56245780,  37.43754220,   0.03712244,   0.00049781,   0.98590171,  -2.16476655,   1.38360596,  -0.27368665,   1.98424586,  -0.05870820,  -0.29743315,   1.89100000,   0.00000000,  -0.26039672,   0.00000000,   0.01194183, 47700.19406680,  -3.28698419,  -0.69488043,   0.68421662,   3.45747805,   0.00000000,   0.00477673
  0.05596638,   2.61842418,  37.38157582,   0.35617048,  -0.03971603,   1.09097147,  -2.38282084,   1.05965340,   0.08848168,   1.97939237,  -0.05508756,  -0.28501523,   1.89100000,   0.00000000,  -0.24920345,   0.00000000,  -0.00386074, 47350.08492850,  -0.48355259,  -0.40715388,  -0.22120420,   3.45747805,   0.00000000,  -0.00154430
  0.05796552,   2.67638969,  37.32361031,   0.08494340,  -0.03709944,   1.08061254,  -2.92228007,   1.14617503,   0.46918863,   1.97592317,  -0.05404882,  -0.27712554,   1.89100000,   0.00000000,  -0.23761034,   0.00000000,  -0.02047222, 48447.71125447,  -1.36870741,  -0.86021126,  -1.17297158,   3.44164228,   0.00000000,  -0.00818889
  0.05796552,   2.73435521,  37.26564479,  -0.01654536,   0.02232428,   0.85213214,  -2.88905811,   0.52597678,   0.76413071,   1.97206629,  -0.05838202,  -0.26575028,   1.89100000,   0.00000000,  -0.22601724,   0.00000000,  -0.03334149, 47794.81286511,  -3.29473909,  -0.66393358,  -1.91032678,   3.46803522,   0.00000000,  -0.01333660
  0.05696511,   2.79132032,  37.20867968,   0.23713803,  -0.29854599,   1.13634634,  -2.21759748,   0.23760185,   0.96759498,   1.96579927,  -0.05927676,  -0.25325373,   1.89100000,   0.00000000,  -0.21462422,   0.00000000,  -0.04221930, 47462.21144330,  -2.20239124,   0.27185009,  -2.41898745,   3.46803522,   0.00000000,  -0.01688772
  0.05496740,   2.84628773,  37.15371227,  -0.02984069,  -0.00925699,   1.21201944,  -2.33317256,   0.43411732,   1.12709677,   1.96432960,  -0.05943123,  -0.24130254,   1.89100000,   0.00000000,  -0.20363074,   0.00000000,  -0.04917887, 47486.27012625,  -2.01142237,  -1.34201158,  -2.81774193,   3.45219946,   0.00000000,  -0.01967155
  0.05796432,   2.90425205,  37.09574795,  -0.05277009,  -0.04031807,   1.17672956,  -2.82919049,   0.01019676,   1.24426448,   1.96018647,  -0.05933966,  -0.23339161,   1.89100000,   0.00000000,  -0.19203787,   0.00000000,  -0.05429128, 48494.62037203,  -1.89073221,  -0.40183816,  -3.11066121,   3.45219946,   0.00000000,  -0.02171651
  0.05996418,   2.96421623,  37.03578377,  -0.01742130,  -0.11455248,   0.94146115,  -2.61508346,  -0.04258455,   1.33595717,   1.95920290,  -0.05931502,  -0.21778731,   1.89100000,   0.00000000,  -0.18004504,   0.00000000,  -0.05829213, 46985.71542219,  -2.02669283,  -1.49908514,  -3.33989292,   3.44692087,   0.00000000,  -0.02331685
  0.05796504,   3.02218127,  36.97781873,  -0.00033304,  -0.01310531,   1.01276147,  -2.50388956,   0.14697325,   1.36074567,   1.96057846,  -0.05935739,  -0.20525255,   1.89100000,   0.00000000,  -0.16845203,   0.00000000,  -0.05937373, 47534.00241856,  -2.07468014,  -2.31901134,  -3.40186417,   3.42580652,   0.00000000,  -0.02374949
  0.05496716,   3.07714844,  36.92285156,   0.19943710,  -0.01360701,   1.26214790,  -2.55980039,   0.29080150,   1.32652855,   1.96168405,  -0.05939096,  -0.19348614,   1.89100000,   0.00000000,  -0.15745860,   0.00000000,  -0.05788073, 47556.41010731,  -2.09622112,  -2.30313425,  -3.31632137,   3.42580652,   0.00000000,  -0.02315229
  0.05696583,   3.13411427,  36.86588573,  -0.02059774,   0.01047139,   0.90990710,  -2.55857491,   0.67181772,   1.28209937,   1.96348427,  -0.05944548,  -0.18625333,   1.89100000,   0.00000000,  -0.14606543,   0.00000000,  -0.05594214, 48668.56307539,  -2.08500695,  -2.53621655,  -3.20524842,   3.44692087,   0.00000000,  -0.02237686
  0.06096292,   3.19507718,  36.80492282,  -0.02055246,  -0.00964756,   1.08715999,  -2.50054908,   1.23322201,   1.22870278,   1.96626068,  -0.05952954,  -0.17554637,   1.89100000,   0.00000000,  -0.13387285,   0.00000000,  -0.05361227, 48122.44103271,  -2.14974850,  -2.92458529,  -3.07175696,   3.44692087,   0.00000000,  -0.02144491
  0.05796552,   3.25304270,  36.74695730,  -0.02091407,  -0.01226177,   1.03452313,  -2.38322616,   1.60336316,   1.16891074,   1.97228278,  -0.05971186,  -0.16443173,   1.89100000,   0.00000000,  -0.12227974,   0.00000000,  -0.05100335, 48010.54032888,  -2.24608498,  -4.22001887,  -2.92227685,   3.41524935,   0.00000000,  -0.02040134
  0.05796647,   3.31100917,  36.68899083,  -0.01852774,   0.01136391,   0.97338158,  -2.38391089,   1.94742715,   1.06376326,   1.97524450,  -0.06442685,  -0.15277248,   1.89100000,   0.00000000,  -0.11068645,   0.00000000,  -0.04641543, 47922.85019313,  -3.85883160,  -3.28905148,  -2.65940815,   3.41524935,   0.00000000,  -0.01856617
  0.05696392,   3.36797309,  36.63202691,  -0.05313275,  -0.12497903,   1.12952423,  -2.41910625,   2.43339252,   0.92359924,   1.97663974,  -0.06558453,  -0.14557811,   1.89100000,   0.00000000,  -0.09929367,   0.00000000,  -0.04029962, 48804.06381058,  -2.67029885,  -2.81548738,  -2.30899811,   3.44692087,   0.00000000,  -0.01611985
  0.05996418,   3.42793727,  36.57206273,   0.03797822,  -0.10010543,   1.17425251,  -2.76003933,   3.01876163,   0.77791923,   1.98161713,  -0.06127696,  -0.13495359,   1.89100000,   0.00000000,  -0.08730083,   0.00000000,  -0.03394313, 48233.95820445,  -0.88499557,  -4.14111509,  -1.94479808,   3.45219946,   0.00000000,  -0.01357725
  0.05596638,   3.48390365,  36.51609635,  -0.01039352,  -0.04633908,   0.92878151,  -3.11573672,   2.80092168,   0.65189481,   1.98428217,  -0.06491666,  -0.12348618,   1.89100000,   0.00000000,  -0.07610755,   0.00000000,  -0.02844428, 47959.71434903,  -3.61569233,  -3.55993170,  -1.62973702,   3.45219946,   0.00000000,  -0.01137771
  0.05596685,   3.53987050,  36.46012950,   0.01104990,  -0.09868607,   0.92620522,  -2.59582949,   2.70023727,   0.58420092,   1.98410718,  -0.06585963,  -0.11152984,   1.89100000,   0.00000000,  -0.06491418,   0.00000000,  -0.02549057, 47769.12422739,  -2.72978694,  -2.63897366,  -1.46050230,   3.43636370,   0.00000000,  -0.01019623
